CUENCA;LABEL;START_NODE;STOP_NODE;STARTPNT_X;STARTPNT_Y;ENDPNT_X;ENDPNT_Y;ORIGEN_DATO;MAXIMA_CAP;DIAMETRO;CAUDAL_MAX;REL_MAXCAP_CAUDALMAX;COTA_INV_INICIO;COTA_INV_FIN;SUMERGIDO1;SUMERGIDO2;IS_ACTIVE;LONGITUD;MATERIAL;TIPO_AGUA;TIPO_RED;ESTADO;PENDIENTE;CONDICION;COLECTOR;CRUCE;D_INT_PROY;text
LA MINA;9084570;9084554;9084558;-75.6026305773;6.1563484916;-75.6027050308;6.1563036698;null;0;0;-1;-1;0.00;0.00;0;0;False;9.60;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :9.6<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9524807;9524800;9524801;-75.6047995380;6.1572549276;-75.6048497654;6.1573267940;null;0;0;-1;-1;0.00;0.00;0;0;False;9.70;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :9.7<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;8617887;8617846;8617847;-75.6033591987;6.1559624521;-75.6033615524;6.1560523317;null;0;0;-1;-1;0.00;0.00;0;0;False;9.90;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :9.9<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;8617890;8617850;8617851;-75.6036295470;6.1563387507;-75.6037191879;6.1563561467;null;0;0;-1;-1;0.00;0.00;0;0;False;10.10;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :10.1<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9742394;9742626;9742629;-75.6026068801;6.1566243952;-75.6026519595;6.1567040393;null;0;0;-1;-1;0.00;0.00;0;0;False;10.10;PVC;COMBINADAS;SECUNDARIA;DISENO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :10.1<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9067190;9067171;9067175;-75.6032319438;6.1564494422;-75.6032922578;6.1563792664;null;0;0;-1;-1;0.00;0.00;0;0;False;10.20;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :10.2<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;9084574;9084560;9084561;-75.6028162924;6.1561907502;-75.6028603310;6.1561095438;null;0;0;-1;-1;0.00;0.00;0;0;False;10.20;PVC;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :10.2<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;8641527;8641523;8641524;-75.6043075948;6.1573468568;-75.6043181147;6.1574387888;null;0;0;-1;-1;0.00;0.00;0;0;False;10.20;Concrete;RESIDUALES;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :10.2<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;6064182;6063672;6064178;-75.6039967003;6.1617875827;-75.6040036152;6.1618805227;null;0;0;-1;-1;0.00;0.00;0;0;False;10.30;Concrete;COMBINADAS;SECUNDARIA;OPERACION;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :10.3<br>Pendiente  :0<br>Diam. interno proyectado mm :0
LA MINA;6064124;6064089;6064090;-75.6033370408;6.1611153861;-75.6032726148;6.1611841919;null;0;0;-1;-1;0.00;0.00;0;0;False;10.40;Concrete;COMBINADAS;SECUNDARIA;RETIRADO;0.0000;Actual;Sabaneta Norte;null;0;Diametro actual mm :0<br>Cota invert inicial m:0<br>Cota invert inicial m:0<br>Longitud m :10.4<br>Pendiente  :0<br>Diam. interno proyectado mm :0
